Record ID,First Name,Last Name,Phone Number,Job Title,Contact owner,Number of Employees,Company Name,Industry,Country/Region,City,State/Region,Website URL,Associated Company,Legal basis for processing contact's data,Became a Marketing Qualified Lead Date
51000047,Rémi,De la Fontaine,+33561586578,Directeur,karim.haddad@agence.fr,12,Kaolin,COMPUTER_SOFTWARE,France,Nantes,,https://www.kaolin.fr/accueil,Kaolin,Legitimate interest – existing customer,2023-06-29
51000052,Hugo,Leroy,+33374517123,Chargé de projet,marie.dupont@agence.fr,5,Verso,CONSTRUCTION,France,Lille,,https://www.verso.fr/accueil,Verso,Legitimate interest – existing customer,2023-05-29
51000054,Julien,Marchand,+33282675869,Responsable achats,marie.dupont@agence.fr,500,Kaolin,RETAIL,France,Marseille,,https://www.kaolin.fr/accueil,Kaolin,Legitimate interest – existing customer,2025-02-28
51000057,Camille,Moreau,+33550240268,Directeur,,40,Menhir Data,FINANCIAL_SERVICES,France,Lille,,https://www.menhirdata.fr/accueil,Menhir Data,Legitimate interest – existing customer,2022-06-12
51000058,Sarah,Leroy,,Directeur,,5,Roseau Paysage,CONSTRUCTION,France,Lille,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Legitimate interest – existing customer,2025-12-23
51000062,Hugo,Mercier,+33393689980,CTO,lea.bonnet@agence.fr,40,Brightpath,CONSTRUCTION,France,Paris,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2025-03-05
51000063,Sophie,Blanc,+33601836675,Responsable achats,lea.bonnet@agence.fr,500,Lorette & Fils,COMPUTER_SOFTWARE,France,Paris,,https://www.lorettefils.fr/accueil,Lorette & Fils,Legitimate interest – existing customer,2025-09-06
51000064,Marc,Perrin,+33467976438,Directeur,marie.dupont@agence.fr,500,Menhir Data,RETAIL,France,Lille,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2025-07-19
51000066,Thomas,Leroy,+33406071596,Chargé de projet,,5,Verso,RETAIL,France,Paris,,https://www.verso.fr/accueil,Verso,,2022-06-29
51000067,Marc,Perrin,+33413696816,CTO,karim.haddad@agence.fr,12,Kaolin,COMPUTER_SOFTWARE,France,Lille,,https://www.kaolin.fr/accueil,Kaolin,Consent,2022-05-28
51000068,Olivier,Leroy,+33352312432,Responsable achats,karim.haddad@agence.fr,120,Verso,FINANCIAL_SERVICES,France,Rennes,,https://www.verso.fr/accueil,Verso,Consent,2024-04-15
51000070,Hugo,n/a,+33586798079,Responsable achats,,12,Sablier,COMPUTER_SOFTWARE,France,Nantes,,https://www.sablier.fr/accueil,Sablier,Legitimate interest – existing customer,2025-06-14
51000071,Claire,François,+33277889255,CTO,lea.bonnet@agence.fr,5,Verso,CONSTRUCTION,France,Paris,,https://www.verso.fr/accueil,Verso,,2024-07-12
51000074,Manon,Lambert,+33422292706,CTO,karim.haddad@agence.fr,500,Brightpath,CONSTRUCTION,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,Consent,2024-12-29
51000077,Amina,François,+33315220472,Chargé de projet,marie.dupont@agence.fr,5,Brightpath,CONSTRUCTION,France,Lyon,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2023-12-12
51000080,Jean-Pierre,De la Fontaine,+33331952058,CTO,,12,Menhir Data,MARKETING_AND_ADVERTISING,France,Paris,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2022-06-17
51000084,Nadia,Van Damme,+33620297021,Responsable achats,lea.bonnet@agence.fr,500,Brightpath,COMPUTER_SOFTWARE,France,Lille,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2020-09-16
51000086,Inès,Chevalier,+33373121727,Directeur,lea.bonnet@agence.fr,500,Kaolin,FINANCIAL_SERVICES,France,Marseille,,https://www.kaolin.fr/accueil,Kaolin,,2024-01-22
51000087,Marc,Girard,+33132370589,CTO,karim.haddad@agence.fr,5,Brightpath,COMPUTER_SOFTWARE,France,Marseille,,https://www.brightpath.fr/accueil,Brightpath,,2020-10-04
51000089,Marc,Da Silva,+33314384249,Directeur,karim.haddad@agence.fr,500,Roseau Paysage,MARKETING_AND_ADVERTISING,France,Lyon,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Consent,2022-08-01
51000090,Paul,Perrin,+33701094396,Directeur,lea.bonnet@agence.fr,120,Brightpath,MARKETING_AND_ADVERTISING,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,Consent,2020-02-22
51000091,Amina,Marchand,+33276773592,CTO,lea.bonnet@agence.fr,12,Kaolin,CONSTRUCTION,France,Lille,,https://www.kaolin.fr/accueil,Kaolin,Consent,2025-08-24
51000095,Inès,Perrin,+33165585239,Chargé de projet,marie.dupont@agence.fr,12,Atelier Nord,CONSTRUCTION,France,Rennes,,https://www.ateliernord.fr/accueil,Atelier Nord,,2025-02-17
51000096,Manon,Nguyen,+33395269495,Chargé de projet,lea.bonnet@agence.fr,5,Dynamo Lab,CONSTRUCTION,France,Marseille,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2020-09-06
51000098,Olivier,Benali,+33426368970,Responsable achats,lea.bonnet@agence.fr,500,Menhir Data,RETAIL,France,Marseille,,https://www.menhirdata.fr/accueil,Menhir Data,Legitimate interest – existing customer,2021-07-08
51000100,Inès,Marchand,+33566524041,CTO,lea.bonnet@agence.fr,12,Sablier,MARKETING_AND_ADVERTISING,France,Rennes,,https://www.sablier.fr/accueil,Sablier,Consent,2020-01-13
51000101,Inès,Mercier,+33593308330,Directeur,,12,Iris Optique,COMPUTER_SOFTWARE,France,Lille,,https://www.irisoptique.fr/accueil,Iris Optique,Legitimate interest – existing customer,2024-12-03
51000102,Lucas,Fontaine,+33354019380,Responsable achats,marie.dupont@agence.fr,120,Kaolin,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.kaolin.fr/accueil,Kaolin,,2024-03-24
51000104,Marc,Duval,+33632966851,Chargé de projet,karim.haddad@agence.fr,120,Brightpath,CONSTRUCTION,France,Lyon,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2023-02-26
51000105,Inès,Van Damme,+33354990453,Directeur,,12,Roseau Paysage,RETAIL,France,Bordeaux,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Consent,2021-06-15
51000106,Rémi,Petit,+33232727956,Chargé de projet,karim.haddad@agence.fr,500,Iris Optique,COMPUTER_SOFTWARE,France,Lille,,https://www.irisoptique.fr/accueil,Iris Optique,,2022-05-05
51000108,Julien,Nguyen,+33490874064,Directeur,marie.dupont@agence.fr,120,Dynamo Lab,CONSTRUCTION,France,Bordeaux,,https://www.dynamolab.fr/accueil,Dynamo Lab,Legitimate interest – existing customer,2020-09-15
51000110,Manon,Moreau,+33378686337,CTO,karim.haddad@agence.fr,5,Roseau Paysage,RETAIL,France,Lille,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Legitimate interest – existing customer,2026-06-04
51000111,Thomas,Benali,+33179030673,Responsable achats,lea.bonnet@agence.fr,500,Sablier,CONSTRUCTION,France,Lille,,https://www.sablier.fr/accueil,Sablier,Consent,2025-05-01
51000112,Claire,Roux,+33536440892,Chargé de projet,marie.dupont@agence.fr,120,Iris Optique,FINANCIAL_SERVICES,France,Marseille,,https://www.irisoptique.fr/accueil,Iris Optique,Consent,2024-11-09
51000113,Lucas,De la Fontaine,+33287334270,Chargé de projet,karim.haddad@agence.fr,12,Dynamo Lab,CONSTRUCTION,France,Lyon,,https://www.dynamolab.fr/accueil,Dynamo Lab,,2023-02-06
51000118,Julien,Duval,+33212038750,Chargé de projet,marie.dupont@agence.fr,500,Lorette & Fils,FINANCIAL_SERVICES,France,Nantes,,https://www.lorettefils.fr/accueil,Lorette & Fils,Legitimate interest – existing customer,2024-12-02
51000119,Camille,Leroy,+33186211823,Responsable achats,lea.bonnet@agence.fr,40,Iris Optique,RETAIL,France,Paris,,https://www.irisoptique.fr/accueil,Iris Optique,,2020-06-15
51000123,Paul,Van Damme,+33777358662,Chargé de projet,lea.bonnet@agence.fr,5,Brightpath,COMPUTER_SOFTWARE,France,Marseille,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2026-02-17
51000125,Camille,François,+33595604661,Responsable achats,karim.haddad@agence.fr,12,Brightpath,MARKETING_AND_ADVERTISING,France,Marseille,,https://www.brightpath.fr/accueil,Brightpath,,2020-03-31
51000126,Inès,Fontaine,+33446471543,Chargé de projet,karim.haddad@agence.fr,5,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Marseille,,https://www.dynamolab.fr/accueil,Dynamo Lab,Legitimate interest – existing customer,2025-10-02
51000128,Claire,Van Damme,+33193982807,Responsable achats,marie.dupont@agence.fr,120,Iris Optique,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.irisoptique.fr/accueil,Iris Optique,,2022-01-21
51000130,Paul,Lambert,+33361014388,Responsable achats,,500,Atelier Nord,FINANCIAL_SERVICES,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,,2021-12-25
51000132,Julien,Petit,+33123828258,Chargé de projet,,12,Menhir Data,RETAIL,France,Nantes,,https://www.menhirdata.fr/accueil,Menhir Data,Legitimate interest – existing customer,2022-08-13
51000134,Manon,Da Silva,+33491557924,Directeur,lea.bonnet@agence.fr,12,Atelier Nord,CONSTRUCTION,France,Paris,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2022-02-08
51000135,Hugo,Moreau,+33529662782,Responsable achats,karim.haddad@agence.fr,40,Verso,RETAIL,France,Lille,,https://www.verso.fr/accueil,Verso,Legitimate interest – existing customer,2022-02-08
51000137,Victor,Marchand,+33678819148,CTO,,12,Dynamo Lab,RETAIL,France,Paris,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2021-05-02
51000141,Nadia,Nguyen,+33436374545,Responsable achats,lea.bonnet@agence.fr,5,Brightpath,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.brightpath.fr/accueil,Brightpath,,2025-10-02
51000143,Thomas,De la Fontaine,+33271293870,Directeur,marie.dupont@agence.fr,12,Sablier,RETAIL,France,Paris,,https://www.sablier.fr/accueil,Sablier,Legitimate interest – existing customer,2025-05-25
51000144,Amina,François,+33342622189,Directeur,karim.haddad@agence.fr,40,Sablier,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.sablier.fr/accueil,Sablier,Consent,2025-04-22
51000149,Lucas,Roux,+33417990421,Directeur,marie.dupont@agence.fr,120,Menhir Data,CONSTRUCTION,France,Lille,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2023-09-21
51000150,Inès,Girard,+33741056481,CTO,marie.dupont@agence.fr,120,Brightpath,FINANCIAL_SERVICES,France,Marseille,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2025-01-15
51000153,Rémi,Da Silva,+33153494937,CTO,karim.haddad@agence.fr,12,Sablier,MARKETING_AND_ADVERTISING,France,Paris,,https://www.sablier.fr/accueil,Sablier,,2020-04-05
51000154,Camille,Roux,+33705064138,Responsable achats,marie.dupont@agence.fr,40,Verso,COMPUTER_SOFTWARE,France,Paris,,https://www.verso.fr/accueil,Verso,Legitimate interest – existing customer,2022-07-31
51000155,Manon,De la Fontaine,+33191826199,Directeur,karim.haddad@agence.fr,40,Brightpath,CONSTRUCTION,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,,2021-04-28
51000156,Amina,Da Silva,+33213291212,Chargé de projet,,500,Brightpath,CONSTRUCTION,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,Legitimate interest – existing customer,2021-05-21
51000159,Camille,François,+33151070296,Chargé de projet,,12,Roseau Paysage,CONSTRUCTION,France,Lyon,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Legitimate interest – existing customer,2021-06-28
51000162,Julien,Fontaine,+33532133480,Responsable achats,lea.bonnet@agence.fr,12,Verso,MARKETING_AND_ADVERTISING,France,Lille,,https://www.verso.fr/accueil,Verso,,2022-06-15
51000165,Sophie,Girard,+33328953926,CTO,lea.bonnet@agence.fr,12,Lorette & Fils,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.lorettefils.fr/accueil,Lorette & Fils,Consent,2020-12-31
51000167,Élodie,Roux,+33710067626,Chargé de projet,,120,Sablier,FINANCIAL_SERVICES,France,Bordeaux,,https://www.sablier.fr/accueil,Sablier,Consent,2022-07-14
51000168,Thomas,Girard,+33305411526,Responsable achats,marie.dupont@agence.fr,500,Kaolin,FINANCIAL_SERVICES,France,Nantes,,https://www.kaolin.fr/accueil,Kaolin,Consent,2025-08-21
51000170,Sophie,Lambert,+33397310324,Directeur,lea.bonnet@agence.fr,120,Brightpath,RETAIL,France,Bordeaux,,https://www.brightpath.fr/accueil,Brightpath,,2026-06-03
51000173,Paul,Moreau,+33233206163,Responsable achats,lea.bonnet@agence.fr,5,Sablier,RETAIL,France,Lille,,https://www.sablier.fr/accueil,Sablier,,2021-06-05
51000174,Victor,Da Silva,+33709986162,Responsable achats,marie.dupont@agence.fr,500,Iris Optique,COMPUTER_SOFTWARE,France,Rennes,,https://www.irisoptique.fr/accueil,Iris Optique,,2020-08-20
51000175,Victor,O'Brien,+33679970246,Responsable achats,,120,Lorette & Fils,CONSTRUCTION,France,Bordeaux,,https://www.lorettefils.fr/accueil,Lorette & Fils,Legitimate interest – existing customer,2023-07-03
51000180,Thomas,Chevalier,+33646657437,CTO,,5,Atelier Nord,COMPUTER_SOFTWARE,France,Lille,,https://www.ateliernord.fr/accueil,Atelier Nord,Consent,2023-01-14
51000182,Sophie,Duval,+33466099353,Chargé de projet,lea.bonnet@agence.fr,500,Kaolin,MARKETING_AND_ADVERTISING,France,Marseille,,https://www.kaolin.fr/accueil,Kaolin,Legitimate interest – existing customer,2023-02-24
51000184,Leïla,Blanc,+33281684602,Responsable achats,,120,Atelier Nord,MARKETING_AND_ADVERTISING,France,Marseille,,https://www.ateliernord.fr/accueil,Atelier Nord,Consent,2025-08-31
51000185,Marc,François,+33250074329,Responsable achats,karim.haddad@agence.fr,120,Kaolin,RETAIL,France,Nantes,,https://www.kaolin.fr/accueil,Kaolin,,2022-09-25
51000186,Antoine,Van Damme,+33650583003,Responsable achats,lea.bonnet@agence.fr,5,Menhir Data,RETAIL,France,Lille,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2026-01-15
51000187,Rémi,Girard,+33378985625,Chargé de projet,karim.haddad@agence.fr,5,Sablier,MARKETING_AND_ADVERTISING,France,Lyon,,https://www.sablier.fr/accueil,Sablier,Consent,2025-12-13
51000188,Sophie,Benali,+33215064890,Directeur,marie.dupont@agence.fr,5,Menhir Data,RETAIL,France,Nantes,,https://www.menhirdata.fr/accueil,Menhir Data,,2019-11-07
51000189,Olivier,Mercier,+33230461849,Responsable achats,marie.dupont@agence.fr,5,Iris Optique,COMPUTER_SOFTWARE,France,Nantes,,https://www.irisoptique.fr/accueil,Iris Optique,Legitimate interest – existing customer,2021-02-21
51000191,Sophie,François,+33143744701,Responsable achats,lea.bonnet@agence.fr,120,Verso,COMPUTER_SOFTWARE,France,Paris,,https://www.verso.fr/accueil,Verso,Legitimate interest – existing customer,2025-08-15
51000192,Camille,Moreau,+33494155216,Chargé de projet,,120,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Paris,,https://www.dynamolab.fr/accueil,Dynamo Lab,Legitimate interest – existing customer,2022-10-11
51000193,Julien,Girard,+33497296590,Responsable achats,marie.dupont@agence.fr,120,Sablier,COMPUTER_SOFTWARE,France,Paris,,https://www.sablier.fr/accueil,Sablier,,2021-10-18
51000195,Marc,Leroy,+33175354083,Chargé de projet,marie.dupont@agence.fr,120,Kaolin,FINANCIAL_SERVICES,France,Nantes,,https://www.kaolin.fr/accueil,Kaolin,Legitimate interest – existing customer,2020-11-26
51000196,Antoine,Nguyen,+33601660880,Directeur,lea.bonnet@agence.fr,500,Brightpath,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.brightpath.fr/accueil,Brightpath,Consent,2025-02-17
51000197,Sarah,Da Silva,+33775899757,Directeur,karim.haddad@agence.fr,40,Brightpath,CONSTRUCTION,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,Consent,2025-11-08
51000199,Olivier,De la Fontaine,+33777982708,Directeur,,12,Menhir Data,FINANCIAL_SERVICES,France,Lyon,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2019-11-11
51000200,Sophie,Petit,+33386693465,CTO,karim.haddad@agence.fr,500,Lorette & Fils,FINANCIAL_SERVICES,France,Marseille,,https://www.lorettefils.fr/accueil,Lorette & Fils,Consent,2019-09-24
51000202,Victor,Marchand,+33162003424,CTO,lea.bonnet@agence.fr,500,Lorette & Fils,COMPUTER_SOFTWARE,France,Marseille,,https://www.lorettefils.fr/accueil,Lorette & Fils,,2026-04-27
51000203,Olivier,Perrin,+33686384066,Chargé de projet,marie.dupont@agence.fr,40,Verso,MARKETING_AND_ADVERTISING,France,Lille,,https://www.verso.fr/accueil,Verso,,2023-12-13
51000204,Thomas,O'Brien,+33533472122,Directeur,,500,Atelier Nord,CONSTRUCTION,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2020-05-02
51000205,Amina,Van Dammee,+33620259094,Chargé de projet,lea.bonnet@agence.fr,40,Roseau Paysage,FINANCIAL_SERVICES,France,Lyon,,https://www.menhirdata.fr/accueil,Roseau Paysage,Legitimate interest – existing customer,2022-10-04
51000207,Sarah,Roux,+33656164840,CTO,,5,Atelier Nord,CONSTRUCTION,France,Bordeaux,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2023-09-24
51000208,Claire,Leroy,+33788013361,Responsable achats,,12,Sablier,COMPUTER_SOFTWARE,France,Nantes,,https://www.sablier.fr/accueil,Sablier,Consent,2025-05-21
51000209,Claire,Lambert,+33248193466,Chargé de projet,,5,Sablier,RETAIL,France,Bordeaux,,https://www.sablier.fr/accueil,Sablier,Legitimate interest – existing customer,2025-08-22
51000210,Victor,Duval,+33501581449,Directeur,,5,Atelier Nord,RETAIL,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,Consent,2025-10-02
51000212,Hugo,Benali,+33223943129,Directeur,marie.dupont@agence.fr,5,Lorette & Fils,CONSTRUCTION,France,Paris,,https://www.lorettefils.fr/accueil,Lorette & Fils,Legitimate interest – existing customer,2020-09-18
51000214,Claire,De la Fontaine,+33736452577,Chargé de projet,,5,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2026-05-30
51000216,Hugo,Van Damme,+33742788165,Directeur,karim.haddad@agence.fr,12,Roseau Paysage,RETAIL,France,Lyon,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Legitimate interest – existing customer,2019-11-07
51000217,Leïla,Blanc,+33137314530,Responsable achats,,120,Dynamo Lab,COMPUTER_SOFTWARE,France,Paris,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2021-01-15
51000218,Claire,Petit,+33398926659,Directeur,,500,Verso,RETAIL,France,Marseille,,https://www.verso.fr/accueil,Verso,,2023-05-25
51000219,Antoine,Fontaine,+33272318432,Responsable achats,marie.dupont@agence.fr,120,Atelier Nord,CONSTRUCTION,France,Bordeaux,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2026-05-22
51000220,Antoine,Fontaine,+33260302992,Responsable achats,marie.dupont@agence.fr,12,Kaolin,COMPUTER_SOFTWARE,France,Lyon,,https://www.kaolin.fr/accueil,Kaolin,,2024-02-06
51000223,Victor,Leroy,+33629806865,Directeur,,120,Sablier,RETAIL,France,Marseille,,https://www.sablier.fr/accueil,Sablier,Consent,2025-06-02
51000224,Leïla,Petit,+33431498643,Directeur,marie.dupont@agence.fr,500,Lorette & Fils,COMPUTER_SOFTWARE,France,Lille,,https://www.lorettefils.fr/accueil,Lorette & Fils,Legitimate interest – existing customer,2024-12-17
51000226,Antoine,Girard,+33444956213,Chargé de projet,marie.dupont@agence.fr,500,Brightpath,RETAIL,France,Rennes,,https://www.brightpath.fr/accueil,Brightpath,,2020-03-11
51000228,Manon,Marchand,+33277038430,Responsable achats,marie.dupont@agence.fr,12,Atelier Nord,COMPUTER_SOFTWARE,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2025-10-26
51000230,Camille,Chevalier,+33181845184,CTO,,120,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Rennes,,https://www.dynamolab.fr/accueil,Dynamo Lab,,2021-11-24
51000231,Sarah,Nguyen,+33316335658,Directeur,karim.haddad@agence.fr,5,Atelier Nord,RETAIL,France,Bordeaux,,https://www.ateliernord.fr/accueil,Atelier Nord,Consent,2026-02-26
51000233,Paul,O'Brien,+33179080759,CTO,lea.bonnet@agence.fr,12,Dynamo Lab,FINANCIAL_SERVICES,France,Marseille,,https://www.dynamolab.fr/accueil,Dynamo Lab,,2025-04-08
51000234,Thomas,Blanc,+33478085627,Directeur,,5,Dynamo Lab,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.dynamolab.fr/accueil,Dynamo Lab,Legitimate interest – existing customer,2025-11-09
51000241,Manon,François,+33216433472,Responsable achats,marie.dupont@agence.fr,40,Sablier,CONSTRUCTION,France,Rennes,,https://www.sablier.fr/accueil,Sablier,,2023-07-09
51000243,Inès,Moreau,+33525478077,CTO,lea.bonnet@agence.fr,12,Iris Optique,COMPUTER_SOFTWARE,France,Lille,,https://www.irisoptique.fr/accueil,Iris Optique,,2026-05-06
51000246,Thomas,François,+33364757051,Responsable achats,,500,Dynamo Lab,RETAIL,France,Lyon,,https://www.dynamolab.fr/accueil,Dynamo Lab,Legitimate interest – existing customer,2026-04-19
51000247,Inès,Van Damme,+33636730371,Responsable achats,lea.bonnet@agence.fr,12,Menhir Data,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.menhirdata.fr/accueil,Menhir Data,Consent,2025-02-04
51000249,Antoine,Perrin,+33132719500,CTO,marie.dupont@agence.fr,120,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Marseille,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2022-04-19
51000250,Hugo,Nguyen,+33324077848,Chargé de projet,karim.haddad@agence.fr,40,Roseau Paysage,CONSTRUCTION,France,Bordeaux,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,,2026-03-23
51000251,Inès,Perrin,+33527448570,Chargé de projet,marie.dupont@agence.fr,40,Verso,FINANCIAL_SERVICES,France,Lyon,,https://www.verso.fr/accueil,Verso,,2024-08-31
